设备名称,管理IP,端口,物理状态,协议状态,端口UP时间,端口DOWN时间,速率,双工,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/21,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/22,DOWN,DOWN,2024-04-02 08:50:22 UTC+08:00,2024-04-02 08:51:41 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/23,UP,UP,2024-05-13 07:29:45 UTC+08:00,2024-05-13 07:29:40 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/24,DOWN,DOWN,2024-05-15 16:27:13 UTC+08:00,2024-05-15 16:28:27 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/25,DOWN,DOWN,2024-05-15 16:27:34 UTC+08:00,2024-05-15 16:28:31 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/26,UP,UP,2024-05-15 16:38:10 UTC+08:00,2024-05-15 16:38:03 UTC+08:00,10,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/27,UP,UP,2024-05-15 12:00:48 UTC+08:00,2024-05-15 12:00:37 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/28,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/29,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/30,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/31,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/32,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/33,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/34,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/35,DOWN,DOWN,-,2024/1/5 3:28,1000,FULL,,,,
SY-1#ZYL-1F-02#01-30U-NW-ACC-S5731,10.61.240.18,GigabitEthernet0/0/36,DOWN,DOWN,2024-05-15 07:52:12 UTC+08:00,2024-05-15 16:28:09 UTC+08:00,1000,FULL,,,,
